title,price,rating,availability,product_url,category,scraped_date
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,2026-09-16
Rip it Up and Start Again,Â£35.02,Five,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Music,2026-09-16
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Music,2026-09-16
Olio,Â£23.88,One,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,Poetry,2026-09-16
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Science Fiction,2026-09-16
Libertarianism for Beginners,Â£51.33,Two,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Politics,2026-09-16
It's Only the Himalayas,Â£45.17,Two,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel,2026-09-16
In Her Wake,Â£12.84,One,In stock,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,Thriller,2026-09-16
How Music Works,Â£37.32,Two,In stock,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Music,2026-09-16
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,Three,In stock,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Food and Drink,2026-09-16
Chase Me (Paris Nights #2),Â£25.27,Five,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Romance,2026-09-16
Black Dust,Â£34.53,Five,In stock,https://books.toscrape.com/catalogue/black-dust_976/index.html,Romance,2026-09-16
Birdsong: A Story in Pictures,Â£54.64,Three,In stock,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Childrens,2026-09-16
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,Three,In stock,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Default,2026-09-16
Aladdin and His Wonderful Lamp,Â£53.13,Three,In stock,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Default,2026-09-16
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Five,In stock,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Nonfiction,2026-09-16
Wall and Piece,Â£44.18,Four,In stock,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Art,2026-09-16
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,Five,In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Spirituality,2026-09-16
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,Three,In stock,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Nonfiction,2026-09-16
The Elephant Tree,Â£23.82,Five,In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Thriller,2026-09-16
The Bear and the Piano,Â£36.89,One,In stock,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,Childrens,2026-09-16
Sophie's World,Â£15.94,Five,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html,Philosophy,2026-09-16
Penny Maybe,Â£33.29,Three,In stock,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,Default,2026-09-16
Maude (1883-1993):She Grew Up with the country,Â£18.02,Two,In stock,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Default,2026-09-16
"In a Dark, Dark Wood",Â£19.63,One,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery,2026-09-16
Behind Closed Doors,Â£52.22,Four,In stock,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Thriller,2026-09-16
You can't bury them all: Poems,Â£33.63,Two,In stock,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Poetry,2026-09-16
Slow States of Collapse: Poems,Â£57.31,Three,In stock,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Poetry,2026-09-16
Reasons to Stay Alive,Â£26.41,Two,In stock,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Nonfiction,2026-09-16
Private Paris (Private #10),Â£47.61,Five,In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Fiction,2026-09-16
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,Five,In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Nonfiction,2026-09-16
Without Borders (Wanderlove #1),Â£45.07,Two,In stock,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,New Adult,2026-09-16
When We Collided,Â£31.77,One,In stock,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,Contemporary,2026-09-16
"We Love You, Charlie Freeman",Â£50.27,Five,In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Fiction,2026-09-16
Untitled Collection: Sabbath Poems 2014,Â£14.27,Four,In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Poetry,2026-09-16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,Four,In stock,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Nonfiction,2026-09-16
Unicorn Tracks,Â£18.78,Three,In stock,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Fantasy,2026-09-16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,One,In stock,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,History,2026-09-16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,One,In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,2026-09-16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,Three,In stock,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Nonfiction,2026-09-16
This One Summer,Â£19.49,Four,In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art,2026-09-16
Thirst,Â£17.27,Five,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html,Fiction,2026-09-16
The Torch Is Passed: A Harding Family Story,Â£19.09,One,In stock,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,Add a comment,2026-09-16
The Secret of Dreadwillow Carse,Â£56.13,One,In stock,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,Childrens,2026-09-16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,One,In stock,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Food and Drink,2026-09-16
The Past Never Ends,Â£56.50,Four,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery,2026-09-16
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,Three,In stock,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Young Adult,2026-09-16
The Nameless City (The Nameless City #1),Â£38.16,Four,In stock,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art,2026-09-16
The Murder That Never Was (Forensic Instincts #5),Â£54.11,Three,In stock,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,Fiction,2026-09-16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,Four,In stock,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Science,2026-09-16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,Four,In stock,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Add a comment,2026-09-16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,Three,In stock,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Nonfiction,2026-09-16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,Five,In stock,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Default,2026-09-16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,One,In stock,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Nonfiction,2026-09-16
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,One,In stock,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Nonfiction,2026-09-16
The Death of Humanity: and the Case for Life,Â£58.11,Four,In stock,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,Philosophy,2026-09-16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,Three,In stock,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Health,2026-09-16
The Art Forger,Â£40.76,Three,In stock,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,Add a comment,2026-09-16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,One,In stock,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,History,2026-09-16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,Five,In stock,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Spirituality,2026-09-16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,Four,In stock,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Nonfiction,2026-09-16
Soul Reader,Â£39.58,Two,In stock,https://books.toscrape.com/catalogue/soul-reader_926/index.html,Default,2026-09-16
Security,Â£39.25,Two,In stock,https://books.toscrape.com/catalogue/security_925/index.html,Horror,2026-09-16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,Three,In stock,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,Fantasy,2026-09-16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,Two,In stock,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art,2026-09-16
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,Two,In stock,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Nonfiction,2026-09-16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,Three,In stock,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art,2026-09-16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,Five,In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art,2026-09-16
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,Five,In stock,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,Fantasy,2026-09-16
"Pop Gun War, Volume 1: Gift",Â£18.97,One,In stock,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,Sequential Art,2026-09-16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,Two,In stock,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,History,2026-09-16
Patience,Â£10.16,Three,In stock,https://books.toscrape.com/catalogue/patience_916/index.html,Sequential Art,2026-09-16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,Four,In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art,2026-09-16
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,One,In stock,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art,2026-09-16
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,One,In stock,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,Self Help,2026-09-16
On a Midnight Clear,Â£14.07,Three,In stock,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,Add a comment,2026-09-16
Obsidian (Lux #1),Â£14.86,Two,In stock,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,Young Adult,2026-09-16
My Paris Kitchen: Recipes and Stories,Â£33.37,Two,In stock,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,Food and Drink,2026-09-16
Masks and Shadows,Â£56.40,Two,In stock,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,Fantasy,2026-09-16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,Four,In stock,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Food and Drink,2026-09-16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,Two,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art,2026-09-16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,Three,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art,2026-09-16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,Two,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art,2026-09-16
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,One,In stock,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,Food and Drink,2026-09-16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,Two,In stock,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Add a comment,2026-09-16
Join,Â£35.67,Five,In stock,https://books.toscrape.com/catalogue/join_902/index.html,Science Fiction,2026-09-16
In the Country We Love: My Family Divided,Â£22.00,Four,In stock,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,Nonfiction,2026-09-16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Â£57.36,Five,In stock,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,Science,2026-09-16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,Two,In stock,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Sequential Art,2026-09-16
I am a Hero Omnibus Volume 1,Â£54.63,Three,In stock,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,Sequential Art,2026-09-16
How to Be Miserable: 40 Strategies You Already Use,Â£46.03,One,In stock,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,Self Help,2026-09-16
Her Backup Boyfriend (The Sorensen Family #1),Â£33.97,One,In stock,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,Romance,2026-09-16
"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,Two,In stock,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,Sequential Art,2026-09-16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,Three,In stock,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction,2026-09-16
First and First (Five Boroughs #3),Â£15.97,Four,In stock,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,Romance,2026-09-16
Fifty Shades Darker (Fifty Shades #2),Â£21.96,One,In stock,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,Romance,2026-09-16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,Two,In stock,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,Nonfiction,2026-09-16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Â£37.97,Two,In stock,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,Religion,2026-09-16
Danganronpa Volume 1,Â£51.99,Four,In stock,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,Sequential Art,2026-09-16
Crown of Midnight (Throne of Glass #2),Â£43.29,Three,In stock,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,Fantasy,2026-09-16
"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,Four,In stock,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Sequential Art,2026-09-16
Camp Midnight,Â£17.08,Four,In stock,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,Sequential Art,2026-09-16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,Five,In stock,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,Nonfiction,2026-09-16
Burning,Â£28.81,Three,In stock,https://books.toscrape.com/catalogue/burning_884/index.html,Young Adult,2026-09-16
Bossypants,Â£49.46,Two,In stock,https://books.toscrape.com/catalogue/bossypants_883/index.html,Default,2026-09-16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,Two,In stock,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,Sequential Art,2026-09-16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Â£28.09,Two,In stock,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,Fantasy,2026-09-16
Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,One,In stock,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,Nonfiction,2026-09-16
A World of Flavor: Your Gluten Free Passport,Â£42.95,One,In stock,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,Default,2026-09-16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Â£56.76,Five,In stock,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,Default,2026-09-16
A Murder in Time,Â£16.64,One,In stock,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,Mystery,2026-09-16
A Flight of Arrows (The Pathfinders #2),Â£55.53,Five,In stock,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction,2026-09-16
A Fierce and Subtle Poison,Â£28.13,Four,In stock,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,Young Adult,2026-09-16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Â£52.37,One,In stock,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,Fantasy,2026-09-16
(Un)Qualified: How God Uses Broken People to Do Big Things,Â£54.00,Five,In stock,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,Christian,2026-09-16
You Are What You Love: The Spiritual Power of Habit,Â£21.87,Four,In stock,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,Religion,2026-09-16
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Â£43.30,Four,In stock,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,Science Fiction,2026-09-16
Tuesday Nights in 1980,Â£21.04,Two,In stock,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,Fiction,2026-09-16
Tracing Numbers on a Train,Â£41.60,Three,In stock,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,Default,2026-09-16
Throne of Glass (Throne of Glass #1),Â£35.07,Three,In stock,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,Fantasy,2026-09-16
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Â£59.64,One,In stock,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,History,2026-09-16
Thirteen Reasons Why,Â£52.72,One,In stock,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,Default,2026-09-16
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Â£58.08,Four,In stock,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,Childrens,2026-09-16
The Wedding Dress,Â£24.12,One,In stock,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,Romance,2026-09-16
The Vacationers,Â£42.15,Four,In stock,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,Fiction,2026-09-16
The Third Wave: An Entrepreneurâs Vision of the Future,Â£12.61,Five,In stock,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,Business,2026-09-16
The Stranger,Â£17.44,Four,In stock,https://books.toscrape.com/catalogue/the-stranger_861/index.html,Philosophy,2026-09-16
The Shadow Hero (The Shadow Hero),Â£33.14,One,In stock,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,Sequential Art,2026-09-16
The Secret (The Secret #1),Â£27.37,Four,In stock,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,Default,2026-09-16
The Regional Office Is Under Attack!,Â£51.36,Five,In stock,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,Fiction,2026-09-16
The Psychopath Test: A Journey Through the Madness Industry,Â£36.00,Two,In stock,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,Default,2026-09-16
The Project,Â£10.65,One,In stock,https://books.toscrape.com/catalogue/the-project_856/index.html,Science Fiction,2026-09-16
The Power of Now: A Guide to Spiritual Enlightenment,Â£43.54,Two,In stock,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,Nonfiction,2026-09-16
The Omnivore's Dilemma: A Natural History of Four Meals,Â£38.21,Two,In stock,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,Nonfiction,2026-09-16
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Â£37.34,Five,In stock,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,Food and Drink,2026-09-16
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,Four,In stock,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery,2026-09-16
The Mistake (Off-Campus #2),Â£43.29,Three,In stock,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,New Adult,2026-09-16
